"","Date","TotalPrice","Guests","Weekday","Month","Season","Year","Day","Liveaboard","Resort","GuestLive","GuestResort","WSpeed"
"180",2013-10-15,37842.7789215686,220,"Tuesday","October","High","2013",709,10,7,111,126,9.509298
"181",2013-10-16,75894.8666666667,432,"Wednesday","October","High","2013",710,5,16,108,345,11.236092
"182",2013-10-19,4748.34782608696,51,"Saturday","October","High","2013",713,0,2,0,53,9.278361
"183",2013-10-20,21039.15,147,"Sunday","October","High","2013",714,3,7,13,144,9.531496
"184",2013-10-21,57166.0583333333,355,"Monday","October","High","2013",715,4,10,84,231,8.503471
"185",2013-10-22,76452.6373827792,396,"Tuesday","October","High","2013",716,11,15,195,225,8.17896
"186",2013-10-26,18917.5043478261,162,"Saturday","October","High","2013",720,3,10,37,102,7.422975
"187",2013-10-27,76087.452855925,468,"Sunday","October","High","2013",721,9,11,154,334,7.5954623
"188",2013-10-28,82690.2467817562,340,"Monday","October","High","2013",722,9,6,236,119,8.127968
"189",2013-10-29,23801.0822463768,152,"Tuesday","October","High","2013",723,2,5,31,125,10.99714
"190",2013-10-30,50625.4173913043,233,"Wednesday","October","High","2013",724,6,6,156,89,4.9531293
"191",2013-11-05,77962.1950980392,391,"Tuesday","November","High","2013",730,13,8,237,162,4.258234
"192",2013-11-06,122563.225021313,613,"Wednesday","November","High","2013",731,14,15,260,346,6.0760775
"193",2013-11-07,61313.1668797954,251,"Thursday","November","High","2013",732,9,8,133,135,4.9945335
"194",2013-11-11,29236.5217391304,217,"Monday","November","High","2013",736,0,7,0,224,4.166339
"195",2013-11-12,39837.5061807332,245,"Tuesday","November","High","2013",737,5,7,84,173,6.327374
"196",2013-11-15,43306.7430520034,257,"Friday","November","High","2013",740,6,7,132,138,6.691727
"197",2013-11-19,95284.9693734015,550,"Tuesday","November","High","2013",744,15,13,276,238,2.0211146
"198",2013-11-20,126095.933780904,702,"Wednesday","November","High","2013",745,16,12,391,238,1.9774866
"199",2013-11-21,109840.839471441,650,"Thursday","November","High","2013",746,19,12,294,267,1.4410458
"200",2013-11-24,41904.2394927536,360,"Sunday","November","High","2013",749,5,12,61,227,2.7815301
"201",2013-11-25,69573.0269394714,323,"Monday","November","High","2013",750,10,7,216,111,3.6837072
"202",2013-11-26,77975.322826087,446,"Tuesday","November","High","2013",751,9,15,176,257,5.616095
"203",2013-11-27,62308.0573529412,402,"Wednesday","November","High","2013",752,9,18,94,335,7.4219494
